step,tls_id,requested_durations,applied_durations
300,cluster_1781062862_1781062863_1853581175_1853581176_#2more,60;40;5;5;5;5,60.0;40.0;5.0;5.0;5.0;5.0
600,cluster_1781062862_1781062863_1853581175_1853581176_#2more,60;40;5;5;5;5,60.0;40.0;5.0;5.0;5.0;5.0
900,cluster_1781062862_1781062863_1853581175_1853581176_#2more,60;40;5;5;5;5,60.0;40.0;5.0;5.0;5.0;5.0
1200,cluster_1781062862_1781062863_1853581175_1853581176_#2more,60;40;5;5;5;5,60.0;40.0;5.0;5.0;5.0;5.0
1500,cluster_1781062862_1781062863_1853581175_1853581176_#2more,60;40;5;5;5;5,60.0;40.0;5.0;5.0;5.0;5.0
1800,cluster_1781062862_1781062863_1853581175_1853581176_#2more,60;40;5;5;5;5,60.0;40.0;5.0;5.0;5.0;5.0
2100,cluster_1781062862_1781062863_1853581175_1853581176_#2more,60;40;5;5;5;5,60.0;40.0;5.0;5.0;5.0;5.0
2400,cluster_1781062862_1781062863_1853581175_1853581176_#2more,60;40;5;5;5;5,60.0;40.0;5.0;5.0;5.0;5.0
2700,cluster_1781062862_1781062863_1853581175_1853581176_#2more,60;40;5;5;5;5,60.0;40.0;5.0;5.0;5.0;5.0
3000,cluster_1781062862_1781062863_1853581175_1853581176_#2more,60;40;5;5;5;5,60.0;40.0;5.0;5.0;5.0;5.0
3300,cluster_1781062862_1781062863_1853581175_1853581176_#2more,60;40;5;5;5;5,60.0;40.0;5.0;5.0;5.0;5.0
