step,tls_id,requested_durations,applied_durations
300,cluster_1781062862_1781062863_1853581175_1853581176_#2more,20;20;20;20;20;20,20.0;20.0;20.0;20.0;20.0;20.0
600,cluster_1781062862_1781062863_1853581175_1853581176_#2more,20;20;20;20;20;20,20.0;20.0;20.0;20.0;20.0;20.0
900,cluster_1781062862_1781062863_1853581175_1853581176_#2more,20;20;20;20;20;20,20.0;20.0;20.0;20.0;20.0;20.0
1200,cluster_1781062862_1781062863_1853581175_1853581176_#2more,20;20;20;20;20;20,20.0;20.0;20.0;20.0;20.0;20.0
1500,cluster_1781062862_1781062863_1853581175_1853581176_#2more,12;12;60;12;12;12,12.0;12.0;60.0;12.0;12.0;12.0
1800,cluster_1781062862_1781062863_1853581175_1853581176_#2more,20;20;20;20;20;20,20.0;20.0;20.0;20.0;20.0;20.0
2100,cluster_1781062862_1781062863_1853581175_1853581176_#2more,20;20;20;20;20;20,20.0;20.0;20.0;20.0;20.0;20.0
2400,cluster_1781062862_1781062863_1853581175_1853581176_#2more,20;20;20;20;20;20,20.0;20.0;20.0;20.0;20.0;20.0
2700,cluster_1781062862_1781062863_1853581175_1853581176_#2more,20;20;20;20;20;20,20.0;20.0;20.0;20.0;20.0;20.0
3000,cluster_1781062862_1781062863_1853581175_1853581176_#2more,20;20;20;20;20;20,20.0;20.0;20.0;20.0;20.0;20.0
3300,cluster_1781062862_1781062863_1853581175_1853581176_#2more,20;20;20;20;20;20,20.0;20.0;20.0;20.0;20.0;20.0
